user_id,user_name,reason,date,mod,server
399623765371256833,SidTheChristmasKid🎄#1872,Begin your war little shit lord.,2021-01-01,Earl Grey#6937,PC Help Hub
445702362871627814,iMxist#8273,trolling.,2021-01-01,Aidy#2103,PC Help Hub
268922884225892355,Weatherton#0625,trolling,2021-01-01,Aidy#2103,PC Help Hub
406986187249680394,Mario'#4677,trolling,2021-01-01,Aidy#2103,PC Help Hub
251884701852106753,Nawfox#9410,trolling,2021-01-01,Aidy#2103,PC Help Hub
442851042804367362,??𝙉𝙄𝙉𝙏𝙀𝙉??#6469,troll,2021-01-01,Grxffiti#5047,PC Building 101
697643652188471407,⃟⃝#6519,don't come back,2021-01-02,Earl Grey#6937,PC Help Hub
462444829406658560,Lordeus#8386,-,2021-01-03,Smaen#9999,PC Help Hub
541089294220132375,hypelatios#9503,Profile picture must be changed before unban,2021-01-03,Smaen#9999,PC Help Hub
749396554304979016,Turtle#7432,Well bye then if you're only going to be disruptive and ignore warnings,2021-01-04,Jackonian#0001,PC Help Hub
418145078272589825,Undeafeted567#5238,sending malware and scan sites,2021-01-05,nobleway#6969,PC Help Hub
538121704535359488,yeetguy#6607,false reports against another user,2021-01-05,DarkLink909#4470,PC Help Hub
96943294428254208,CGuroC#2078,,Date N/A,Grxffiti#5047,PC Building 101
234755782162251777,Toxic#1681,Grxffiti#5047: No advertising. We don't like people like that.,Date N/A,Grxffiti#5047,PC Building 101
262982939569160193,Meep#1627,Grxffiti#5047: Yeah you arent a great addition to our server. Also maybe go do sports or something,Date N/A,Grxffiti#5047,PC Building 101
270286322625806337,Sukine#9780,Grxffiti#5047: With those idiots,Date N/A,Grxffiti#5047,PC Building 101
271670750912577536,Momen von Tosmarck#8564,"Weird mute, posting off topic memes in main chat, and trying to ping everyone",Date N/A,Grxffiti#5047,PC Building 101
272593014898294784,invaliduser#9639,"Grxffiti#5047: Multiple infractions, even in the past.",Date N/A,Grxffiti#5047,PC Building 101
287046334475796480,Sysmic#6969,,Date N/A,Grxffiti#5047,PC Building 101
291001147655847937,Carny#2055,Grxffiti#5047: sorry kiddo,Date N/A,Grxffiti#5047,PC Building 101
295216148683816970,Heucn#6574,Grxffiti#5047: lol,Date N/A,Grxffiti#5047,PC Building 101
311971568236625921,"""Richy but raised in the hood""#7362",,Date N/A,Grxffiti#5047,PC Building 101
338317571046637569,KiDoRi#0888,Grxffiti#5047: Dont be a troll.,Date N/A,Grxffiti#5047,PC Building 101
346554268666298378,Arktiskt#3473,Grxffiti#5047: rejoined from different acc,Date N/A,Grxffiti#5047,PC Building 101
346812954617970708,Deleted User a5935021#8626,noobiness_unlimited#5709: (No reason specified),Date N/A,Grxffiti#5047,PC Building 101
349230310858293249,Citruslol#5463,Grxffiti#5047: Some weird shit,Date N/A,Grxffiti#5047,PC Building 101
370918230921052160,Əlabbas#0031,Grxffiti#5047: he did it again,Date N/A,Grxffiti#5047,PC Building 101
380073403320893440,bunjle#9215,Grxffiti#5047: I forgot to ban you sorry.,Date N/A,Grxffiti#5047,PC Building 101
380859570391613440,icy#8604,"toxic, being a nuisance",Date N/A,Grxffiti#5047,PC Building 101
383791213481951232,YesIGetThatSamsungSSDsAreOnSale#3916,"Grxffiti#5047: Spam, c word, trying to ban, and annoying all the time.",Date N/A,Grxffiti#5047,PC Building 101
389566122854449174,xxxcouchicion#3110,Grxffiti#5047: Peace out bitch.,Date N/A,Grxffiti#5047,PC Building 101
396663153334812673,Dalton#4151,,Date N/A,Grxffiti#5047,PC Building 101
398537852264382464,The Luka#8876,,Date N/A,Grxffiti#5047,PC Building 101
402606072499535872,brodis#2088,fuck you troll,Date N/A,Grxffiti#5047,PC Building 101
410179020076875778,Mango the legend#4506,"sworded#7800: saying slurs in DMs, harassment in DMs",Date N/A,Grxffiti#5047,PC Building 101
412082889266823180,Krryssa#4479,Violating the rule of no explicit profile pictures.,Date N/A,Grxffiti#5047,PC Building 101
416853666385887233,22#3952,Grxffiti#5047: lying about qge,Date N/A,Grxffiti#5047,PC Building 101
418115912290533376,Dus4n#0756,Grxffiti#5047: Game cheats etc for dms,Date N/A,Grxffiti#5047,PC Building 101
422438775872946176,StrawberryOreo#2793,"N word alt and multiple rule violations",Date N/A,Grxffiti#5047,PC Building 101
425085125597069318,base builder#1499,Grxffiti#5047: LOL don't talk shit about people behind their back.,Date N/A,Grxffiti#5047,PC Building 101
432740973940834304,Deleted User e38077b2#4926,Dalton_A#0735: obviously a troll,Date N/A,Grxffiti#5047,PC Building 101
436988637507485706,wyoming#0033,"suck it nerd",Date N/A,Grxffiti#5047,PC Building 101
437391587576905740,iMelee#6278,Grxffiti#5047: troll,Date N/A,Grxffiti#5047,PC Building 101
793408522163060737,ihateniggers#0099,fuck off,2021-01-05,JeKnYan#2001,PC Building 101
796096431114813471,NA,Racial slurs,2021-01-05,Shin Ma#5386,PCHB Test Server
796096431114813471,NA,Racial slurs,2021-01-05,Shin Ma#5386,PCHB Test Server
722535410408095844,gk61#9545,Mario’s Alt,2021-01-05,nobleway#6969,PC Help Hub
796096431114813471,NA,Leaving doesn’t erase racial slurs.,2021-01-05,nobleway#6969,PC Help Hub
554093799425572864,WelpImAlive#4987,730d turn 13 before you come back,2021-01-07,nobleway#6969,PC Help Hub
554093799425572864,WelpImAlive#4987,2y turn 13,2021-01-07,nobleway#6969,PC Help Hub
554093799425572864,WelpImAlive#4987,1y turn 13,2021-01-07,nobleway#6969,PC Help Hub
791567353963085844,shijun7#8434,Advertising,2021-01-08,Aidy#2103,PC Help Hub
356436841110437888,Indian Tech Support#0242,troll from NBC server I read your chat history,2021-01-08,Grxffiti#5047,PC Building 101
325140889791889408,🖤Coffee🤍 *°•°Certified Simp°•°*#4381,.,2021-01-08,EdwardL#9561,PC Building 101
492489125136695316,Master#5045,we don't accept those words around here,2021-01-09,DarkLink909#4470,PC Help Hub
486378710769860618,mushroom#0979,no homophobic nonsense you bellend,2021-01-09,DarkLink909#4470,PC Help Hub
228674793849749504,tyler !#6539,spam,2021-01-09,Smaen#9999,PC Help Hub
578407446163488788,chickenlegs#1090,Waste someone else's time. You're not welcome here. Go soak your head and find something better to do with yourself.,2021-01-11,Jackonian#0001,PC Help Hub
257935222895542273,Fleury#2555,Just go,2021-01-11,Jackonian#0001,PC Help Hub
257935222895542273,Fleury#2555,banned for being a dick and a troll and generally being a nuscaince to both users and mods,2021-01-11,Shin Ma#5386,PCHB Test Server
